product_name,product_name,product_counter,sum_timediff,ave_timediff
Г/к травленый прокат трансформаторной стали,Г/к травленый прокат трансформаторной стали,100,-178,-1.78
Х/к нагартованный прокат трансформаторной стали,Х/к нагартованный прокат трансформаторной стали,64,-193,-3.015625
Г/к травленый дрессированный прокат углеродистой стали,Г/к травленый дрессированный прокат углеродистой стали,1299,-3428,-2.6389530408006157
Прокат холод. после 1-ой подготовки,Прокат холод. после 1-ой подготовки,33,-18,-0.5454545454545454
Товарный сляб,Товарный сляб,245,-543,-2.216326530612245
Прокат холод. обезжиренный,Прокат холод. обезжиренный,63,0,0.0
Х/к термообработанный прокат углеродистой стали,Х/к термообработанный прокат углеродистой стали,5703,-13826,-2.424338067683675
Х/к нагартованный прокат динамной стали,Х/к нагартованный прокат динамной стали,611,-1357,-2.220949263502455
Сляб трансформаторной стали,Сляб трансформаторной стали,90,-165,-1.8333333333333333
Прокат холод. после ЭИП,Прокат холод. после ЭИП,65,-74,-1.1384615384615384
"Прокат холод. после ВТО, LOI","Прокат холод. после ВТО, LOI",47,-3,-0.06382978723404255
Х/к оцинкованный прокат углеродистой стали,Х/к оцинкованный прокат углеродистой стали,3583,-9003,-2.512698855707508
Х/к прокат с полимерным покрытием,Х/к прокат с полимерным покрытием,36,-48,-1.3333333333333333
Г/к прокат трансформаторной стали,Г/к прокат трансформаторной стали,61,-39,-0.639344262295082
Г/к оцинкованный прокат углеродистой стали,Г/к оцинкованный прокат углеродистой стали,681,-1657,-2.433186490455213
Сляб углеродистой стали,Сляб углеродистой стали,8333,-19306,-2.3168126725069005
Х/к термообработанный прокат углеродистой стали после АПРСП,Х/к термообработанный прокат углеродистой стали после АПРСП,477,-1090,-2.2851153039832286
Прокат холод. с термостойким покрытием,Прокат холод. с термостойким покрытием,45,5,0.1111111111111111
Сляб обжатый углеродистой стали,Сляб обжатый углеродистой стали,8,2,0.25
Г/к травленый прокат углеродистой стали,Г/к травленый прокат углеродистой стали,2732,-7428,-2.718887262079063
Г/к травленый прокат динамной стали,Г/к травленый прокат динамной стали,278,-592,-2.129496402877698
Прокат холод. после 2-ой холод.прокатки,Прокат холод. после 2-ой холод.прокатки,87,158,1.8160919540229885
Прокат холод. анизотропный упаковка,Прокат холод. анизотропный упаковка,42,-82,-1.9523809523809523
Сляб динамной стали,Сляб динамной стали,615,-1384,-2.2504065040650407
Г/к прокат динамной стали,Г/к прокат динамной стали,740,-1625,-2.195945945945946
Х/к термообработанный (обезуглероженный) прокат трансформаторной стали,Х/к термообработанный (обезуглероженный) прокат трансформаторной стали,65,-3,-0.046153846153846156
Г/к прокат углеродистой стали,Г/к прокат углеродистой стали,8177,-20323,-2.485385838327015
Х/к нагартованный прокат углеродистой стали,Х/к нагартованный прокат углеродистой стали,2592,-5851,-2.2573302469135803
Х/к термообработанный прокат динамной стали,Х/к термообработанный прокат динамной стали,1422,-3089,-2.1722925457102673
Х/к оцинкованный прокат с полимерным покрытием,Х/к оцинкованный прокат с полимерным покрытием,1753,-4021,-2.293782087849401
