,#,ResourceGroupID,Id,AvailableCapacity,FreeCapacity,Start,HasFiniteCapacity,LongName
0,0,G_TKT,G_TKT_Seq_36,0,00:00:00,2020-05-21,True,Агрегат травления проталкиванием
1,110,G_TKT,G_TKT_Seq_17,23:43:00.480,00:00:00,2020-05-02,True,Агрегат травления проталкиванием
2,119,G_TKT,G_TKT_Seq_21,23:43:00.480,00:00:00,2020-05-06,True,Агрегат травления проталкиванием
3,120,G_TKT,G_TKT_Seq_34,23:43:00.480,00:00:00,2020-05-19,True,Агрегат травления проталкиванием
4,121,G_TKT,G_TKT_Seq_18,23:43:00.480,00:00:00,2020-05-03,True,Агрегат травления проталкиванием
5,127,G_TKT,G_TKT_Seq_23,23:43:00.480,00:00:00,2020-05-08,True,Агрегат травления проталкиванием
6,132,G_TKT,G_TKT_Seq_22,23:43:00.480,00:00:00,2020-05-07,True,Агрегат травления проталкиванием
7,136,G_TKT,G_TKT_Seq_20,23:43:00.480,00:00:00,2020-05-05,True,Агрегат травления проталкиванием
8,138,G_TKT,G_TKT_Seq_19,23:43:00.480,00:00:00,2020-05-04,True,Агрегат травления проталкиванием
9,141,G_TKT,G_TKT_Seq_28,23:43:00.480,00:00:00,2020-05-13,True,Агрегат травления проталкиванием
10,143,G_TKT,G_TKT_Seq_43,23:43:00.480,00:00:00,2020-05-28,True,Агрегат травления проталкиванием
11,145,G_TKT,G_TKT_Seq_27,23:43:00.480,00:00:00,2020-05-12,True,Агрегат травления проталкиванием
12,146,G_TKT,G_TKT_Seq_14,23:43:00.480,00:00:00,2020-04-29,True,Агрегат травления проталкиванием
13,147,G_TKT,G_TKT_Seq_33,23:43:00.480,00:00:00,2020-05-18,True,Агрегат травления проталкиванием
14,552,G_TKT,G_TKT_Seq_42,23:43:00.480,00:00.001,2020-05-27,True,Агрегат травления проталкиванием
15,740,G_TKT,G_TKT_Seq_7,7:54:20.160,7:06:32.116,2020-04-22,True,Агрегат травления проталкиванием
16,770,G_TKT,G_TKT_Seq_35,7:54:20.160,7:54:20.160,2020-05-20,True,Агрегат травления проталкиванием
17,920,G_TKT,G_TKT_Seq_0,23:43:00.480,11:52:58.604,2020-04-15,True,Агрегат травления проталкиванием
18,1000,G_TKT,G_TKT_Seq_8,23:43:00.480,13:55:39.179,2020-04-23,True,Агрегат травления проталкиванием
19,1101,G_TKT,G_TKT_Seq_32,23:43:00.480,16:19:22.913,2020-05-17,True,Агрегат травления проталкиванием
20,1168,G_TKT,G_TKT_Seq_16,23:43:00.480,17:58:01.579,2020-05-01,True,Агрегат травления проталкиванием
21,1192,G_TKT,G_TKT_Seq_41,23:43:00.480,18:16:26.999,2020-05-26,True,Агрегат травления проталкиванием
22,1332,G_TKT,G_TKT_Seq_25,23:43:00.480,20:12:03.021,2020-05-10,True,Агрегат травления проталкиванием
23,1383,G_TKT,G_TKT_Seq_26,23:43:00.480,20:50:47.693,2020-05-11,True,Агрегат травления проталкиванием
24,1391,G_TKT,G_TKT_Seq_1,23:43:00.480,20:59:05.298,2020-04-16,True,Агрегат травления проталкиванием
25,1445,G_TKT,G_TKT_Seq_13,23:43:00.480,21:34:00.415,2020-04-28,True,Агрегат травления проталкиванием
26,1482,G_TKT,G_TKT_Seq_15,23:43:00.480,21:57:58.916,2020-04-30,True,Агрегат травления проталкиванием
27,1509,G_TKT,G_TKT_Seq_6,23:43:00.480,22:04:00.976,2020-04-21,True,Агрегат травления проталкиванием
28,1565,G_TKT,G_TKT_Seq_37,23:43:00.480,22:37:51.994,2020-05-22,True,Агрегат травления проталкиванием
29,1684,G_TKT,G_TKT_Seq_40,23:43:00.480,23:23:39.114,2020-05-25,True,Агрегат травления проталкиванием
30,1775,G_TKT,G_TKT_Seq_31,23:43:00.480,23:43:00.480,2020-05-16,True,Агрегат травления проталкиванием
31,1776,G_TKT,G_TKT_Seq_38,23:43:00.480,23:43:00.480,2020-05-23,True,Агрегат травления проталкиванием
32,1777,G_TKT,G_TKT_Seq_39,23:43:00.480,23:43:00.480,2020-05-24,True,Агрегат травления проталкиванием
33,1778,G_TKT,G_TKT_Seq_44,23:43:00.480,23:43:00.480,2020-05-29,True,Агрегат травления проталкиванием
34,1779,G_TKT,G_TKT_Seq_10,23:43:00.480,23:43:00.480,2020-04-25,True,Агрегат травления проталкиванием
35,1780,G_TKT,G_TKT_Seq_2,23:43:00.480,23:43:00.480,2020-04-17,True,Агрегат травления проталкиванием
36,1781,G_TKT,G_TKT_Seq_12,23:43:00.480,23:43:00.480,2020-04-27,True,Агрегат травления проталкиванием
37,1782,G_TKT,G_TKT_Seq_5,23:43:00.480,23:43:00.480,2020-04-20,True,Агрегат травления проталкиванием
38,1783,G_TKT,G_TKT_Seq_29,23:43:00.480,23:43:00.480,2020-05-14,True,Агрегат травления проталкиванием
39,1784,G_TKT,G_TKT_Seq_4,23:43:00.480,23:43:00.480,2020-04-19,True,Агрегат травления проталкиванием
40,1785,G_TKT,G_TKT_Seq_3,23:43:00.480,23:43:00.480,2020-04-18,True,Агрегат травления проталкиванием
41,1786,G_TKT,G_TKT_Seq_30,23:43:00.480,23:43:00.480,2020-05-15,True,Агрегат травления проталкиванием
42,1787,G_TKT,G_TKT_Seq_9,23:43:00.480,23:43:00.480,2020-04-24,True,Агрегат травления проталкиванием
43,1788,G_TKT,G_TKT_Seq_24,23:43:00.480,23:43:00.480,2020-05-09,True,Агрегат травления проталкиванием
44,1789,G_TKT,G_TKT_Seq_11,23:43:00.480,23:43:00.480,2020-04-26,True,Агрегат травления проталкиванием
45,4233,G_TKT,G_TKT_Seq_45,"6 days, 22:01:03.360","4 days, 15:11:24.824",2020-05-30,True,Агрегат травления проталкиванием
46,4290,G_TKT,G_TKT_Seq_48,"5 days, 6:29:22.560","5 days, 6:29:22.560",2020-06-20,True,Агрегат травления проталкиванием
47,4345,G_TKT,G_TKT_Seq_46,"6 days, 22:01:03.360","6 days, 6:48:07.072",2020-06-06,True,Агрегат травления проталкиванием
48,4374,G_TKT,G_TKT_Seq_47,"6 days, 22:01:03.360","6 days, 22:01:03.360",2020-06-13,True,Агрегат травления проталкиванием
49,4672,G_TKT,G_TKT_Seq_57,"27 days, 16:04:13.440","27 days, 16:04:13.440",2021-02-27,True,Агрегат травления проталкиванием
50,4678,G_TKT,G_TKT_Seq_49,"27 days, 23:58:33.600","27 days, 23:58:33.600",2020-06-27,True,Агрегат травления проталкиванием
51,4759,G_TKT,G_TKT_Seq_54,"29 days, 15:30:14.400","29 days, 15:30:14.400",2020-11-27,True,Агрегат травления проталкиванием
52,4760,G_TKT,G_TKT_Seq_52,"29 days, 15:30:14.400","29 days, 15:30:14.400",2020-09-27,True,Агрегат травления проталкиванием
53,4936,G_TKT,G_TKT_Seq_50,"30 days, 15:13:14.880","30 days, 15:13:14.880",2020-07-27,True,Агрегат травления проталкиванием
54,4937,G_TKT,G_TKT_Seq_55,"30 days, 15:13:14.880","30 days, 15:13:14.880",2020-12-27,True,Агрегат травления проталкиванием
55,4938,G_TKT,G_TKT_Seq_51,"30 days, 15:13:14.880","30 days, 15:13:14.880",2020-08-27,True,Агрегат травления проталкиванием
56,4939,G_TKT,G_TKT_Seq_56,"30 days, 15:13:14.880","30 days, 15:13:14.880",2021-01-27,True,Агрегат травления проталкиванием
57,4940,G_TKT,G_TKT_Seq_53,"30 days, 15:13:14.880","30 days, 15:13:14.880",2020-10-27,True,Агрегат травления проталкиванием
58,1,G_APGKRD,G_APGKRD_Seq_16,"1 day, 20:06:43.200",00:00:00,2020-05-01,False,Агрегат подготовки горячекатаных рулонов № 1
59,1,G_APGKRD,G_APGKRD_Seq_16,"1 day, 20:06:43.200",00:00:00,2020-05-01,False,Агрегат подготовки горячекатаных рулонов № 2
60,13,G_APGKRD,G_APGKRD_Seq_11,"1 day, 20:06:43.200",00:00:00,2020-04-26,False,Агрегат подготовки горячекатаных рулонов № 1
61,13,G_APGKRD,G_APGKRD_Seq_11,"1 day, 20:06:43.200",00:00:00,2020-04-26,False,Агрегат подготовки горячекатаных рулонов № 2
